id,Name,Date (UTC),Description,Url,Tax Code
prod_SAyqO3xVR3zOzJ,Sumol Orange,2025-04-22 09:12,,,txcd_41040010
prod_SAyqnhzECM0fZX,Sumol Ananas,2025-04-22 09:12,,,txcd_41040010
prod_SAyqhDdLvIyVlr,Hawai Tropical,2025-04-22 09:12,,,txcd_41040021
prod_SAypLmsphXkOIJ,Eau Cristaline,2025-04-22 09:11,,,txcd_41030001
prod_SAyo0vMYuLkPai,San Pellegrino Eau Gazeuse,2025-04-22 09:11,,,txcd_41030002
prod_SAyofgpT7JEtET,San Pellegrino Limonata,2025-04-22 09:10,,,txcd_41040005
prod_SAyoOZUQe2fhrG,San Pellegrino Essenza Citron,2025-04-22 09:10,,,txcd_41040005
prod_SAynp1Lfb9XGKB,FuzeTea Pêche,2025-04-22 09:09,,,txcd_41040003
prod_SAynfmbks4wtPY,Schweppes Citron,2025-04-22 09:09,,,txcd_41040010
prod_SAymm9QtQHag9H,Schweppes Agrume,2025-04-22 09:08,,,txcd_41040010
prod_SAymkKlTYqG1Wf,Orangina Light,2025-04-22 09:08,,,txcd_41040010
prod_SAyl7HDQw1VIAh,Orangina Jaune,2025-04-22 09:08,,,txcd_41040010
prod_SAylU7ONPSJDTh,Capri-Sun Multivitaminé,2025-04-22 09:07,,,txcd_41040022
prod_SAyk1Vg3Sd6MA1,Fanta Orange,2025-04-22 09:07,,,txcd_41040010
prod_SAykQxvyhNzGaw,Fanta Citron frappé,2025-04-22 09:06,,,txcd_41040010
prod_SAyjxd3fsBIHqm,Oasis Tropical,2025-04-22 09:05,,,txcd_41040010
prod_SAyinS8fkRu3lL,Oasis Pomme Cassis Framboise,2025-04-22 09:04,,,txcd_41052001
prod_SAyi01B5b7m90o,Coca Cola Cherry,2025-04-22 09:04,,,txcd_41052001
prod_SAyhl432IpY5ft,Coca Cola Sans Sucre,2025-04-22 09:04,,,txcd_41052001
prod_SAyhEaERMBIdwM,Coca Cola,2025-04-22 09:03,,,txcd_41052001
prod_SAygx5EYmOlMIu,Pastel de Nata 'Mon P'tit Flan' à l'unité,2025-04-22 09:03,"Pastel de nata, dessert traditionnel portugais né du côté de Lisbonne au début du XVIII siècle",,txcd_40060003
prod_SAygOS7lFcx0IT,Sauce ail et coriandre,2025-04-22 09:02,"Sauce ail et coriandre avec du caractère, touche fraîche et savoureuse (faite maison)",,txcd_40060003
prod_SAyfjGH83hAoWG,Sauce Rouge 'Non piquante',2025-04-22 09:02,"Sauce rouge non piquante, c'est une version de la sauce piri-piri sans la chaleur du piment (faite maison)",,txcd_40060003
prod_SAyfJvScUeEyyt,Sauce Piri Piri 'Piquante',2025-04-22 09:01,Sauce piri-piri portugaise piquante pour une touche épicée et authentique (faite maison),,txcd_40060003
prod_SAyeDJwLFEw1E4,Pommes de Terre,2025-04-22 09:00,"Pommes de terre grenailles cuites au barbecue, l'accompagnement idéal",,txcd_40060003
prod_SAydkpVjouhTP2,Mon P'tit 1/4 Poulet,2025-04-22 09:00,"1/4 de Poulet jaune de Vendée façon churrasqueira, grillé au charbon de bois professionnel dans un barbecue Portugais idéal pour 2 personnes",,txcd_40060003
prod_SAycBPsdg3Zqjp,Mon P'tit 1/2 Poulet,2025-04-22 08:58,"1/2 de Poulet jaune de Vendée façon churrasqueira, grillé au charbon de bois professionnel dans un barbecue Portugais idéal pour 2 personnes",,txcd_40060003
prod_SAycQrUEPqYPR6,Mon P'tit Poulet Entier,2025-04-22 08:58,"Poulet jaune de Vendée façon churrasqueira, grillé au charbon de bois professionnel dans un barbecue Portugais idéal pour 3 ou 4 personnes",,txcd_40060003
